"Lectin"	"SA1"	"SA10"	"SA11"	"SA12"	"SA13"	"SA14"	"SA15"	"SA16"	"SA17"	"SA18"	"SA19"	"SA2"	"SA3"	"SA4"	"SA5"	"SA6"	"SA7"	"SA8"	"SA9"
"LBA"	-0.624396086330478	-0.666418372439843	-0.0403547964201714	-0.45891663469725	-0.113975775235112	-0.173371530561926	-0.119503757352011	-0.116804110501807	0.0195038188373697	0.0545302663471396	-0.119827159527352	-0.916540060888936	-0.30217160308989	-0.543979938031438	-0.82395776644468	-0.540636628892439	-0.490282941844288	-0.314214132550838	-0.494038173478403
"LcH"	-0.415072487705176	-0.563152040064521	0.431200962136582	-0.352023051733756	-0.0121872593046053	0.0151992643421828	-0.608203348893667	-0.491420706752146	-0.525900389391765	-0.6108474103199	-0.576315709230698	0.227006286635113	-0.664787058685523	-0.746041023319078	-0.442410185742542	-0.51626926632064	-0.539591329384216	-0.870835646381757	-0.568207126870892
"Le X P12 SCBT"	-0.0863509806599829	-0.0798640236554551	0.279360292832761	-0.0604735284177593	-0.0107986125939412	0.203516710881308	0.210245605245911	0.0231994431591236	0.110004842409435	0.295055943484185	0.0629996572256406	-0.675854708571343	-0.162822165695779	-0.278024659385691	-0.289116345939146	-0.191274681516415	-0.0238694606359484	-0.0819862819049408	-0.241676329167968
"Le X R and D (CD 15)"	1.12182636996154	1.17464061802942	0.596461727735107	1.03716313361143	1.49642177272225	0.50555533310111	1.16547303869338	1.49458794878078	0.785881901351763	0.853377733033568	1.03688214286209	1.76876598334314	1.35696932491545	1.00366784052846	1.29586035466288	1.59456297755315	1.33249444953582	1.27635041058266	1.26412369787591
"LEA_EY"	-0.377384824415149	-0.333539956567979	-0.573427363822471	-0.371067977717445	-1.18724343668082	-0.848059449803154	-0.213362074321118	-0.52937827783728	-0.198750356446523	-0.666959205667025	-0.676242418477791	-0.352171473853485	-0.343155191297146	-0.422756394247362	0.0850530441380197	-0.00394595826400135	-0.349364133255184	-0.468426147614858	-0.250549469361756
"LEA_V"	0.314902086397971	-0.00704781371380214	0.274742363082826	0.206916962947634	-0.698675515602416	-0.240004057557131	-0.0471511941584364	-0.316134359039195	0.282538224671164	-0.136697658307096	-0.230665103838199	0.283582286184794	-0.053234612271023	0.332155418700589	0.592822980467666	0.458162142609103	0.56669514204596	-0.167641128048915	0.321919267405173
"Lewis Y"	0.268161375014337	0.0175724843134102	0.596791605683263	0.946675849118787	0.914651311977378	0.563432799475244	0.836680100554487	0.791878084682818	1.03965382772675	0.913725635189053	0.629155055388489	-0.166978445023458	0.295984537457866	0.464412785903422	0.0326649319434917	0.692675044027382	0.447772161323265	0.391078886100724	0.345705604194654
"Lewis Y IgM"	-1.35083252892947	-0.855102635398314	-1.32521311370725	-1.40033822421732	-1.35452970258441	-0.995069898545617	-1.73159106229811	-1.1804412642714	-1.80760789788006	-1.50699762242296	-1.85000727521055	-1.54775197650069	-0.565816888027209	-0.863571944404162	-0.659942545473813	-1.08931368042908	-0.992680779781608	-0.939505510631037	-1.30227328087775
"LFA"	0.443296582874934	-0.150963043939469	0.134039596192791	0.154309206848623	0.235803267403714	-0.16816862296472	0.190945932778467	-0.123596965160414	-0.160843900301643	-0.320601071959104	-0.212517757127939	0.259057249064854	0.138719204485691	0.0871566330083358	0.117826815978947	-0.00793749568800539	0.122793247507841	0.218745272972227	0.157964763036519
"Lotus"	-0.0235665791625674	0.288943734111996	0.0663001848517073	0.0517008356056525	0.267957368402925	-0.064941583915255	0.334308461116404	0.265429765261699	0.149634972228103	0.210497784677241	0.061015262028711	-0.400401502533246	0.0593518920347069	0.0898864260807706	-0.18345576273477	0.0298926869234215	0.149316188817108	0.468040225404598	0.0975542108415386
"LPA "	1.06917367013213	2.56882937201385	1.7518074357376	1.39425073957757	1.28925242152215	0.650826974481264	1.94566889994845	0.746802276488845	0.707945278016703	1.47743001026329	0.430652821460926	1.66274884305104	1.4125686486493	2.46044608739127	2.71135482399488	1.53321305487414	3.36360633857163	7.42295777079675	1.84279091585734
"MAA new"	-0.366774963412714	-0.250133697384197	-0.689585858143646	-0.818432469075388	-0.745741869585013	-1.04974882295445	-0.52072768176194	-0.671070233157693	-0.717461775328836	-0.85870649790211	-0.85877029436929	-0.984514093012383	-0.464575908384784	-0.576102744516234	-0.287270640355217	-0.489849120275158	-0.0889337416701359	-0.0348684804554722	-0.358466966492974
"MAL-I vector"	0.303850179867215	0.356741702251666	0.0965795433912771	-0.0477508393976507	-0.234481849083078	-0.372665485950046	-0.0935884414869435	-0.298317086337899	-0.113672348698978	-0.330265315333037	-0.434511912394983	-0.174058279152325	0.198123151902328	0.195132454759014	0.314530291321484	0.273738301282894	0.506714639040332	0.603321761578494	0.330230903319855
"MAL-II vector"	-0.622674177718046	0.0772106827122538	-0.903064508366377	-1.08125504531679	-1.07941783580727	-1.0451229969836	-0.764377194887304	-1.02297766099816	-0.512186470705352	-0.560893816019812	-0.885152149705206	-0.803761064105506	-0.363625767069609	-0.421702888349778	-1.01121213548258	-0.0665675452642276	-0.0285072902293422	-0.341695711317065	-0.531188888335874
"MNA-G"	0.065592047984012	-0.195826568155232	0.0545736442388307	0.427251733501564	-0.0932441683595968	0.284445398003104	-0.187759175879298	-0.11811123863607	0.0989473238317355	-0.328334469162582	-0.594481027044633	2.28648428703195	-0.253569482141788	-0.329251296229987	0.411785151738361	0.012356338447594	-0.0548143070849161	-0.394726182246769	0.120161832650853
"MNA-M "	-0.469549772828428	-0.661736069858456	0.3137728672686	-0.519402507594313	-0.179147142803787	-0.112500958720309	-0.668337287512147	-0.688653991379748	-0.467577475304202	-0.757989263816803	-0.856838328277114	0.232601312835889	-0.760022135601107	-0.709036402110184	-0.345064176537731	-0.481072287471166	-0.777577309921801	-0.838470362751307	-0.559778251984271
"MOA new"	0.391322377863032	0.619163639876801	0.178405661465209	-0.248652409168649	0.0701267933760832	-0.119487778981537	0.238684800981092	-0.0812381423342519	0.360063102156939	-0.131554505174513	-0.182660662244944	0.0939274310957909	0.542565291280715	0.538053268041345	0.269038423296351	0.390828813817336	0.498841779744136	0.579716373844878	0.418371168272795
"MPA (Vector)"	-0.225104261380531	-0.0164996381374145	0.160369611718787	-0.0126833420840331	-0.277286905115197	-0.0419828801659161	-0.188845012686883	-0.198507118015696	-0.200175300777852	-0.340081722018081	-0.432156875057565	1.59235322159872	-0.125672597215944	-0.331524758148692	0.101136839118983	-0.0371757569733528	-0.118960932815492	-0.529472300680791	0.0055161628490179
"NA_1"	-0.366211080254905	0.0838376811653809	1.00728780474342	0.338894514595202	0.785928389917231	0.602483076997874	-2.30764349842875	-4.0301209754213	-1.87108496282104	3.19513797998701	0.511318565094632	-1.61588655683375	0.694477187493959	-0.296172006213034	1.16446754068554	-2.45545968048882	-4.13617827699464	-0.35794961135313	-1.11813110971982
