ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2014/03/28 12:10:34"
"Settings=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_setting.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=532	635"
"ImageFiles=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 2	C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 3"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=715, 1395"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4300 [122871]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=425	570"
"ScanPower=70	90"
"LaserPower=2.11	1.69"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,4400,14400"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"F532 CV"	"F635 CV"	"B532 CV"	"B635 CV"	"Index"
1	4	4	""	""	1825	2520	115	2907	2839	846	490	506	490	154	99	99	0	3203	3148	1291	125	157	125	329	97	94	0	0.785	0.777	0.806	0.806	1.398	0.740	0.852	392	3108	100	0	0	0	5495	5372	-0.349	2417	3078	2349	3023	1112945	1233825	15.149	9.091	29	41	30	209	49
1	5	4	""	""	2100	2525	125	2997	2744	989	497	508	497	127	100	100	0	3188	3083	1707	122	137	122	186	98	92	0	0.815	0.759	0.828	0.853	1.482	0.688	0.874	460	3704	100	0	0	0	5566	5208	-0.294	2500	3066	2247	2961	1262120	1418001	17.606	15.839	36	55	25	135	50
1	6	4	""	""	2375	2525	115	3254	3176	999	468	476	468	93	100	100	0	3459	3451	1483	109	122	109	110	100	100	0	0.832	0.810	0.841	0.849	1.400	0.763	0.829	392	3108	100	0	0	0	6136	6050	-0.266	2786	3350	2708	3342	1244924	1352644	29.032	30.264	31	42	19	90	51
1	7	4	""	""	2650	2530	140	1956	1876	393	471	624	471	454	95	89	0	1035	1051	394	112	147	112	167	97	94	0	1.609	1.496	1.548	1.552	1.410	1.450	0.861	624	4640	100	0	0	0	2408	2344	0.686	1485	923	1405	939	1170667	655925	2.758	5.413	20	37	72	113	52
1	8	4	""	""	2925	2525	140	1793	1756	422	461	652	461	497	95	89	0	958	995	445	115	156	115	180	97	95	0	1.580	1.472	1.523	1.540	1.536	1.347	0.792	624	4578	100	0	0	0	2175	2175	0.660	1332	843	1295	880	1096011	620734	2.221	4.661	24	44	76	115	53
1	9	4	""	""	3195	2525	140	1762	1687	384	459	645	459	512	92	86	0	930	939	338	112	148	112	155	96	94	0	1.593	1.485	1.531	1.486	1.457	1.420	0.829	624	4591	100	0	0	0	2121	2055	0.672	1303	818	1228	827	1052673	585689	2.035	5.103	22	35	79	104	54
1	10	4	""	""	3455	2515	135	2607	2482	990	451	461	451	94	97	94	0	2662	2551	1129	101	111	101	70	97	96	0	0.842	0.829	0.830	0.832	1.605	0.831	0.858	540	4262	100	0	0	0	4717	4481	-0.248	2156	2561	2031	2450	1340319	1377451	21.500	34.857	39	44	20	63	55
1	11	4	""	""	3745	2520	135	2653	2540	872	474	530	474	941	88	75	0	2550	2614	1538	126	194	126	1014	88	71	0	0.899	0.830	0.881	0.859	1.511	0.894	0.768	540	4241	100	0	0	0	4603	4554	-0.154	2179	2424	2066	2488	1371809	1411641	2.136	2.387	34	58	177	522	56
1	12	4	""	""	3995	2515	130	2581	2469	1408	473	496	473	171	92	90	0	2362	2401	1468	144	179	144	254	92	91	0	0.950	0.884	0.939	0.883	1.643	1.047	0.753	540	4024	100	0	0	0	4326	4253	-0.073	2108	2218	1996	2257	1333241	1296384	11.538	8.748	57	61	34	141	57
1	13	4	""	""	4275	2515	140	8495	8275	2333	468	534	468	500	96	96	0	14430	14075	4316	154	263	154	958	97	97	0	0.562	0.561	0.564	0.550	1.408	0.551	0.942	624	4561	100	0	0	0	22303	21728	-0.831	8027	14276	7807	13921	5163493	8782778	15.482	14.418	28	30	93	364	58
1	14	4	""	""	4540	2515	145	8785	8142	3203	519	806	519	826	93	90	0	14404	13505	5138	207	387	207	1259	94	93	0	0.582	0.573	0.584	0.556	1.449	0.580	0.940	624	4704	100	0	0	0	22463	20921	-0.780	8266	14197	7623	13298	5080693	8427200	8.881	10.419	39	38	102	325	59
1	15	4	""	""	4810	2520	150	8863	7331	3725	558	888	558	996	81	79	0	13620	11412	6050	248	426	248	1470	84	80	0	0.621	0.607	0.618	0.604	1.763	0.599	0.953	716	5197	100	0	0	0	21677	17937	-0.687	8305	13372	6773	11164	5249218	8170792	6.469	7.473	50	53	112	345	60
1	1	5	""	""	1045	2795	125	5331	4874	2097	519	526	519	94	99	97	0	6086	5808	3010	133	147	133	86	100	99	0	0.808	0.767	0.782	0.748	1.500	0.731	0.850	460	3704	100	0	0	0	10765	10030	-0.307	4812	5953	4355	5675	2242085	2671615	46.255	65.826	43	51	17	58	61
1	2	5	""	""	1305	2790	120	4763	4360	1755	478	483	478	77	99	97	0	5598	5263	2739	115	126	115	81	99	99	0	0.782	0.754	0.780	0.765	1.459	0.709	0.870	460	3460	100	0	0	0	9768	9030	-0.356	4285	5483	3882	5148	2005656	2420807	50.351	63.420	40	52	15	64	62
1	3	5	""	""	1570	2790	120	4887	4397	2801	470	483	470	357	89	88	0	5259	5047	3957	112	144	112	798	89	84	0	0.858	0.796	0.824	0.810	1.684	0.713	0.899	460	3460	100	0	0	0	9564	8862	-0.221	4417	5147	3927	4935	2022640	2321641	10.964	6.144	63	78	73	554	63
